dataset,taxon_1,taxon_2,tested_status,interaction_label,effect_sign,effect_strength,n_evidence,truth_type,label_rule,mixed_evidence,direction_available,experimental_setting
omm12_keystone_2023,I46,I48,positive,1,,2.13732033601038,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I46,KB1,positive,1,1,3.89947312404603,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I46,YL58,positive,1,,3.53533173299656,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I48,I49,tested_neutral,0,,0.0,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,FALSE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I48,KB1,positive,1,,4.28802768826907,10,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I48,YL2,positive,1,1,1.69959232014851,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I48,YL27,positive,1,1,15.3852089078268,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I48,YL31,positive,1,,1.00730480062323,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I48,YL32,positive,1,,0.5609016023874,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I48,YL44,positive,1,1,1.69861928251672,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I48,YL45,positive,1,1,1.69262605515547,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I48,YL58,positive,1,,2.70043971814109,10,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I49,KB1,positive,1,1,11.8988924010069,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,I49,YL58,tested_neutral,0,,0.0,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,FALSE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,KB1,YL2,positive,1,1,11.8785997142277,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,KB1,YL27,positive,1,,3.40382834853245,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,KB1,YL31,positive,1,,2.07838789868472,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,KB1,YL32,positive,1,,2.30256277002043,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,KB1,YL44,positive,1,,2.63207902199837,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,KB1,YL45,positive,1,,7.81378119121704,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,KB1,YL58,positive,1,,1.03793848265994,10,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,YL2,YL58,positive,1,1,0.515398906921302,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,YL27,YL58,positive,1,-1,9.50268012681403,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,YL31,YL58,positive,1,,15.6874426260404,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,YL32,YL58,positive,1,,1.22795194667835,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,YL44,YL58,positive,1,,0.465064073050392,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
omm12_keystone_2023,YL45,YL58,positive,1,,7.49575755078559,5,community_dropout,positive if any in vitro medium has a nonzero ratio effect,TRUE,TRUE,AF;APF;GAM;TYG;YCFA
