check,value,status,note
pair_focal_rows,90,pass,Two rows per two species culture.
pair_communities,45,pass,All 45 possible pairs among 10 taxa are represented.
pair_taxa,10,pass,"AM, BA, BOB, BOV, BT, EC, FP, LB, LJ, RI"
pair_biological_replicates,4,pass,"Bio1 through Bio4 are available, each based on two technical measurements."
pair_missing_ct,0,pass,No missing biological replicate averages.
pair_duplicate_culture_focal,0,pass,Expected key is unique.
first_higher_order_communities,7,pass,Three or four species cocultures with two biological replicates.
second_higher_order_communities,4,pass,Additional three or four species cocultures with two biological replicates.
numeric_directed_effects,77,pass,Conditioned medium effects with numeric growth rate and yield coefficients.
possible_directed_effects,90,info,Ten taxa give 90 possible directed effects.
nonnumeric_no_growth_effects,13,warning,Missing numeric coefficients include experiments where the acceptor did not grow; retain these as observed inhibition with missing magnitude.
duplicate_directed_effects,0,pass,Directed effect key is unique.
effect_taxa_match_abundance,1,pass,All effect identifiers occur in the qPCR abundance data.
